Episode:0,Phase,WallTime,SimTime,TimeStep,State:31,Action:4,Reward:1
open phase,1635809525.748558,2,1,1.0,1.0,1.0,-0.026750000000000003,0.05300000000000001,0.08,-0.026750000000000003,0.05300000000000001,0.08,-0.026750000000000003,0.05300000000000001,0.08,-0.027349993055579672,0.12499750001446758,0.08,0.026750000000000003,0.05300000000000001,0.08,0.027349993055579672,0.12499750001446758,0.08,0.024166666666666663,-3.9219374874059316e-07,-0.024166666666666663,3.9219374874059316e-07,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.758239,2,2,1.0,1.0,1.0,-0.026749999999999996,0.05299999999999999,0.08,-0.026749999999999996,0.05299999999999999,0.08,-0.026749999999999996,0.05299999999999999,0.08,-0.03955157330695505,0.12385280319695655,0.08,0.026749999999999996,0.05299999999999999,0.08,0.03955157330695505,0.12385280319695655,0.08,0.3178750000000001,-1.7269247979589528e-07,-0.3178750000000001,1.7269247979589528e-07,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.7678456,2,3,1.0,1.0,1.0,-0.026749999999999996,0.052999999999999985,0.08,-0.026749999999999996,0.052999999999999985,0.08,-0.026749999999999996,0.052999999999999985,0.08,-0.05761862128801525,0.1180471230707176,0.08,0.026749999999999996,0.052999999999999985,0.08,0.05761862128801525,0.1180471230707176,0.08,0.5557787500000001,4.790171939967609e-07,-0.5557787500000001,-4.790171939967609e-07,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.7775066,2,4,1.0,1.0,1.0,-0.026750000000000006,0.053000000000000005,0.08,-0.026750000000000006,0.053000000000000005,0.08,-0.026750000000000006,0.053000000000000005,0.08,-0.07073502794778527,0.11000278340951912,0.08,0.026750000000000006,0.053000000000000005,0.08,0.07073502794778527,0.11000278340951912,0.08,0.7484807875,8.946371414580314e-07,-0.7484807875,-8.946371414580314e-07,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.7871609,2,5,1.0,1.0,1.0,-0.026749999999999996,0.05299999999999999,0.08,-0.026749999999999996,0.05299999999999999,0.08,-0.026749999999999996,0.05299999999999999,0.08,-0.07991179206864041,0.10155742851563125,0.08,0.026749999999999996,0.05299999999999999,0.08,0.07991179206864041,0.10155742851563125,0.08,0.9045694378750001,1.1385231571396031e-06,-0.9045694378750001,-1.1385231571396031e-06,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.7968,2,6,1.0,1.0,1.0,-0.02675,0.053,0.08,-0.02675,0.053,0.08,-0.02675,0.053,0.08,-0.08618701484992213,0.09363546807568646,0.08,0.02675,0.053,0.08,0.08618701484992213,0.09363546807568646,0.08,1.0310012446787502,1.2597285653011521e-06,-1.0310012446787502,-1.2597285653011521e-06,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.806362,2,7,1.0,1.0,1.0,-0.026749999999999996,0.05300000000000001,0.08,-0.026749999999999996,0.05300000000000001,0.08,-0.026749999999999996,0.05300000000000001,0.08,-0.09041652141567877,0.08662401003489793,0.08,0.026749999999999996,0.05300000000000001,0.08,0.09041652141567877,0.08662401003489793,0.08,1.1334110081897877,1.2952792918874142e-06,-1.1334110081897877,-1.2952792918874142e-06,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.816317,2,8,1.0,1.0,1.0,-0.026750000000000003,0.053000000000000005,0.08,-0.026750000000000003,0.053000000000000005,0.08,-0.026750000000000003,0.053000000000000005,0.08,-0.09324098479364834,0.08062153039154102,0.08,0.026750000000000003,0.053000000000000005,0.08,0.09324098479364834,0.08062153039154102,0.08,1.216362916633728,1.272831325563715e-06,-1.216362916633728,-1.272831325563715e-06,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.8261092,2,9,1.0,1.0,1.0,-0.026750000000000003,0.053000000000000005,0.08,-0.026750000000000003,0.053000000000000005,0.08,-0.026750000000000003,0.053000000000000005,0.08,-0.09511599065438262,0.07558520139039882,0.08,0.026750000000000003,0.053000000000000005,0.08,0.09511599065438262,0.07558520139039882,0.08,1.2835539624733197,2.394183177662437e-06,-1.2835539624733197,-2.394183177662437e-06,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.8359091,2,10,1.0,1.0,1.0,-0.02675000000000001,0.053000000000000026,0.08,-0.02675000000000001,0.053000000000000026,0.08,-0.02675000000000001,0.053000000000000026,0.08,-0.09635596518144303,0.07141221364094337,0.08,0.02675000000000001,0.053000000000000026,0.08,0.09635596518144303,0.07141221364094337,0.08,1.3379787096033888,4.005653424277261e-06,-1.3379787096033888,-4.005653424277261e-06,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
open phase,1635809525.845529,2,11,1.0,1.0,1.0,-0.026750000000000003,0.053,0.08,-0.026750000000000003,0.053,0.08,-0.026750000000000003,0.053,0.08,-0.09717399183604927,0.06798203503787337,0.08,0.026750000000000003,0.053,0.08,0.09717399183604927,0.06798203503787337,0.08,1.382062754778745,4.922220669566741e-06,-1.382062754778745,-4.922220669566741e-06,10,10,10,10,10,10,1.57,0.0,-1.57,0.0,
