Action Space,State Space,Sim A Distance Covered,Sim A Distance Std,Sim A Efficiency,Sim A Efficiency Std,Real A Distance Covered,Real A Distance Std,Real A Efficiency,Real A Efficiency Std,Sim B Distance Covered,Sim B Distance Std,Sim B Efficiency,Sim B Efficiency Std,Real B Distance Covered,Real B Distance Std,Real B Efficiency,Real B Efficiency Std
FTP,S1,0.35903340444390947,0.02033446581945934,0.6682169619794154,0.293349700806176,0.3556043425907848,0.01260864748434534,0.7367317376638882,0.1775359974372444,0.36406891951906334,0.020357640902887875,0.6879520939878107,0.2391351247985579,0.23938759767897957,0.018408393828896686,0.5752568056586415,0.2362027206304599
FTP,S2,0.393276337732634,0.017530148904107673,0.7893955614119749,0.20279533366307187,0.3713566834334495,0.01650697690062425,0.7109544549350387,0.22349148254391782,0.35264535051278206,0.02237673759783047,17198.16909792075,82475.99500439136,0.27434049445151537,0.018418305494465662,0.5162071308500751,0.22993219520557978
FTP,S3,0.3496882287700975,0.021409244149517417,0.7524252467531044,0.2716528667603977,0.31131206957841556,0.015678502844507922,0.6402395675383192,0.1967575623591616,0.4111840222031708,0.014895285335686254,0.7918934229515626,0.19237020347436795,0.30717776939893615,0.011972013140102272,0.604265799280294,0.21249635826230148
JA,S1,0.3805207921770357,0.020770810830465395,0.711455391432032,0.2402595333847507,0.43559406986513066,0.017834798164461173,0.7385783206352337,0.15910677747017082,0.4086037522392513,0.02510404271241594,0.7635007417622646,0.23578418007710247,0.38800155350368143,0.025761928456140327,0.5796598331219935,0.2131988140111579
JA,S2,0.3757893816459137,0.02178985113370356,0.6889373996549283,0.2808574744961964,0.44186237900526293,0.015257248343982502,0.7572250653362527,0.11085660533136776,0.45023358177053946,0.020335361109589903,0.8204002177175608,0.18432113286745386,0.42588911618787084,0.02349328725666848,0.6564288806759023,0.24240077692322148
JA,S3,0.37032243199363374,0.020021718501861487,0.7011966753186933,0.22860778041656404,0.4063968068787134,0.017372609493315056,0.6512667333200868,0.1228836340963416,0.4334326536948457,0.021655719227720374,17707.018787932127,84916.10457222674,0.3874653361079101,0.021659422287441204,0.5536867288763389,0.2231314642381795
