,autoencoder position,pickle file position,autoencoder orientation,pickle file orientation
0,[-0.06038704  0.04855112  0.04273107],"[2.7825115410996273e-16, 0.10000000000000049, 0.0009797218101262703]",[-0.07081012  0.12357897 -0.02348383 -0.95680818],"[1.562203152160018e-16, -3.9055078796051867e-16, 3.839200227801661e-27, 1.0]"
1,[-0.06038704  0.04855112  0.04273107],"[2.7618959231610674e-16, 0.10000000000000049, 0.000979721826447255]",[-0.07081012  0.12357897 -0.02348383 -0.95680818],"[5.728078204576455e-16, -1.4320195509737494e-15, 3.839195704573424e-27, 1.0]"
2,[-0.07052593  0.0624589   0.04275408],"[0.007054194282909289, 0.10035406240132803, 0.0009864786489817024]",[ 0.04357063  0.14648417 -0.02166768 -0.55192984],"[8.698497026264427e-05, 8.29703179844264e-05, -0.019217497728738864, 0.9998153196118708]"
3,[-0.07255661  0.06164522  0.0428696 ],"[0.0147275833771463, 0.10209363145465437, 0.0009885122749171658]",[-0.17047311  0.19809142 -0.02315974  0.96406896],"[0.00014863752167067895, 6.914177173878423e-05, -0.03438887176436629, 0.9994085143849218]"
4,[-0.07286769  0.05290313  0.04330275],"[0.02249748204048816, 0.1035262792436865, 0.000990611531884605]",[-0.26737225  0.19992202 -0.02544739  0.99400882],"[0.00021291832886354917, 5.273528126264506e-05, -0.047400708914856655, 0.9988759305735344]"
5,[-0.07397728  0.05041622  0.04427014],"[0.030693232404197655, 0.10331911854751777, 0.0009943006292032893]",[-0.26938193  0.15515071 -0.02376559  0.99467302],"[0.000325085489694734, 2.221764589239819e-05, -0.06293282543755672, 0.9980177119211094]"
6,[-0.07427781  0.04724086  0.04565325],"[0.03907437027180126, 0.10173668634105637, 0.0009990340376954108]",[-0.2695741   0.0871465  -0.01681403  0.99292299],"[0.000467513547179247, -2.0598981322975582e-05, -0.0797379605324194, 0.9968157496031528]"
7,[-0.07435868  0.04353606  0.0470879 ],"[0.04647320403514396, 0.10047390195906776, 0.0010064835475173198]",[-0.26961335  0.02377903  0.00534604  0.99037203],"[0.0006551122530534518, -4.8187747281003825e-05, -0.09200094033385042, 0.9957587034435422]"
8,[-0.07436872  0.04022592  0.04807827],"[0.05183564184660662, 0.10010456795806273, 0.00102876884195722]",[-0.26962459 -0.0254789   0.05338731  0.98809106],"[0.001045391590493417, -0.00026586982110193434, -0.09736423723441412, 0.9952482312355152]"
9,[-0.07436434  0.03889156  0.04841627],"[0.054096446508335554, 0.10090604785605202, 0.0010169496645408094]",[-0.26962765 -0.04326618  0.0906226   0.98689687],"[0.0009249239523149291, -8.860872019504721e-05, -0.09710885571747124, 0.9952733327108793]"
10,[-0.07436475  0.03839687  0.04854127],"[0.05499208242317044, 0.10265954940925005, 0.0010501877369744478]",[-0.26962867 -0.04950988  0.10733517  0.98637989],"[0.0013827008531922516, -0.000488297694121018, -0.09096446541909273, 0.9958530593088175]"
11,[-0.07436774  0.0382778   0.04857823],"[0.0552127172446901, 0.10401497382979238, 0.001086140714924343]",[-0.26962891 -0.0510516   0.11042834  0.98624232],"[0.0019470535620231505, -0.000841782260382722, -0.08442686677973428, 0.9964274206136691]"
12,[-0.07437077  0.03824328  0.04859429],"[0.05527039649630655, 0.10509709066562643, 0.0011108935081936987]",[-0.26962899 -0.05149826  0.11027627  0.98619738],"[0.0022987933084397966, -0.0011082286647568502, -0.07867434536497211, 0.9968971033963058]"
13,[-0.07437324  0.03823344  0.04860261],"[0.05528302274593369, 0.10600335991814075, 0.0011304854551386927]",[-0.269629   -0.05159142  0.1093248   0.98618368],"[0.0025335686112658595, -0.001354753553527516, -0.07403116729037446, 0.9972517896411748]"
14,[-0.07437548  0.03820865  0.04861367],"[0.055318473864021146, 0.10682570051830434, 0.001146997941857947]",[-0.26962904 -0.0518442   0.10892756  0.98615674],"[0.002713696734820199, -0.0015791706912918304, -0.0694344359579347, 0.9975815761997425]"
15,[-0.07437725  0.03816706  0.04862726],"[0.05535355098232948, 0.10755562354451716, 0.0011429099601931207]",[-0.26962911 -0.05227323  0.10927561  0.98611478],"[0.002646971695053682, -0.001518201166617598, -0.06531599630626368, 0.9978599647408365]"
16,[-0.07437871  0.03810169  0.04864518],"[0.055429471563529654, 0.10821789202738062, 0.001136087433461187]",[-0.26962921 -0.05295545  0.11051487  0.98605136],"[0.0025284044420479067, -0.0014589679735978033, -0.061275715976314274, 0.9981166090267306]"
17,[-0.07437963  0.03801681  0.04866579],"[0.05554616182406479, 0.10882649048097044, 0.001130954809534737]",[-0.26962934 -0.05384269  0.11265828  0.9859703 ],"[0.00241709816282346, -0.0014330411069792802, -0.0578047900790235, 0.9983239505659358]"
18,[-0.07438007  0.03791665  0.04868836],"[0.055694122615694265, 0.10938116732395242, 0.0011256499764178197]",[-0.2696295  -0.05489357  0.11558756  0.98587458],"[0.0022926085110336353, -0.0014161154024761057, -0.054860921309567844, 0.998490369446019]"
19,[-0.07438015  0.03780817  0.04871153],"[0.05586009331098701, 0.10988960902211832, 0.0011192817105411717]",[-0.26962966 -0.05602235  0.11907905  0.98576885],"[0.002148631678332359, -0.0013918865345815877, -0.052316768411912726, 0.9986272586789928]"
20,[-0.07437978  0.03769628  0.04873405],"[0.056040054680153856, 0.11035736194538315, 0.0011124507999327568]",[-0.26962984 -0.05716604  0.12310371  0.98565155],"[0.0019906034332862416, -0.0013705284022788298, -0.05023374046592428, 0.9987345645709235]"
21,[-0.07437917  0.03758255  0.04875619],"[0.05622695300919013, 0.11080098778847976, 0.0011054295388031707]",[-0.26963001 -0.05832693  0.12743614  0.98553187],"[0.0018240881956437024, -0.001352923652295648, -0.04852889951488626, 0.9988191969579477]"
22,[-0.07437857  0.03747651  0.04877652],"[0.05640102398058755, 0.1112452837762523, 0.001098361563525089]",[-0.26963017 -0.05939305  0.13153249  0.98542053],"[0.0016532126885361968, -0.001338663124386936, -0.046887649451391115, 0.9988979042914092]"
23,[-0.07437804  0.0373813   0.04879455],"[0.05655643122972397, 0.1116843692941726, 0.0010911125759869506]",[-0.2696303  -0.06033467  0.13523614  0.98532112],"[0.001473621425407054, -0.001328674249393845, -0.04531364562177644, 0.9989708387060644]"
24,[-0.0743775   0.03729619  0.04881031],"[0.056696847379496804, 0.11210893724245204, 0.0010844888039138422]",[-0.26963042 -0.06116268  0.13860879  0.98523279],"[0.0012934102122527259, -0.0013349663971288373, -0.04400391452739386, 0.9990296294209733]"
