Action Space,State Space,Upper Folder,Sim A Distance Mean,Sim A Distance Std,Sim A Angle Mean,Sim A Angle Std,Sim A Success Rate,Sim C Distance Mean,Sim C Distance Std,Sim C Angle Mean,Sim C Angle Std,Sim C Success Rate,Real A Distance Mean,Real A Distance Std,Real A Angle Mean,Real A Angle Std,Real A Success Rate,Real C Distance Mean,Real C Distance Std,Real C Angle Mean,Real C Angle Std,Real C Success Rate
FTP,S1,N_mothra_slide_rerun,0.0107832949336412,0.0130362808365682,17.5492815298987,11.9228911556057,64.4954954954955,0.0549843667825797,0.0333155290194906,9.98784870309709,12.3011227040449,7.36711711711712,0.0218643054537743,0.0136760234217302,7.16418291193333,12.1767016650544,12.5,0.0410107730989792,0.0201671472576929,29.4955410122291,30.5624454694186,0
FTP,S2,N_mothra_slide_rerun,0.0114237214403648,0.0235875338244491,22.2040987872737,13.6111454421553,65.8175675675676,0.0491983311219284,0.0311673167740013,7.09163959218637,10.3239595594304,8.66441441441441,0.0215966672007123,0.0132046016182184,15.9707620527688,20.5375900114413,25,0.0323570979876375,0.0157528035241365,20.345870560457,14.7526309198954,12.5
FTP,S3,N_mothra_slide_rerun,0.0140386383325962,0.0172058787745765,21.0471018390924,14.3165609410569,55.3873873873874,0.0494101969423876,0.0328020050265162,7.14939166620702,10.2726609684909,12.1058558558559,0.0199077866308291,0.0157820304169717,11.779931277458,14.5062953778734,25,0.0287255260348213,0.0175187285443713,22.5192185500735,20.732959328219,0
JA,S1,N_mothra_slide_rerun,0.0120793089536854,0.0132094842182592,23.9968188484794,15.5303366223065,60.8581081081081,0.0206373133238654,0.0194563006221293,22.9527421746058,16.4354519759584,34.5112612612613,0.0209802736879151,0.0131761445904207,15.5357777156948,15.9134993178216,12.5,0.0281361394199284,0.0158732384889802,25.7207209048615,17.0277585475371,12.5
JA,S2,N_mothra_slide_rerun,0.0117099838670289,0.0138311867670738,24.214385296114,14.8118363271399,63.4527027027027,0.0189658473748879,0.017391362425692,21.6152713906919,16.5251804809065,38.4414414414414,0.0205450900182327,0.0123211720925224,15.210124567684,12.9773300257834,25,0.034689293078249,0.019637688303928,24.3793086903047,19.2701612769111,12.5
JA,S3,N_mothra_slide_rerun,0.0120538264641792,0.0137484250513934,23.2375870708929,14.7724826289121,60.2297297297297,0.0198593093367889,0.0251599296800303,21.3039545136157,15.4199136222049,46.8265765765766,0.0205657553676956,0.0132998070745456,13.8045417351089,16.3603962450091,12.5,0.0277334513125273,0.0152093600352188,26.7157792915874,16.266085026365,12.5
FTP,S1,J_HPC_rerun,0.0108936045391022,0.0225760381101808,20.2624184555343,11.7189147771403,66.972972972973,0.0503403007579826,0.0307610524463388,5.62790049374922,7.12827354507622,7.50675675675676,0.0257345866165467,0.0143121277075024,21.288042796261,22.5113144659844,12.5,0.0375483145276541,0.0178461146622695,26.6676700809029,18.4328104159574,12.5
FTP,S2,J_HPC_rerun,0.0102981499871936,0.0180708840804987,24.8003721244831,14.1861375833627,68.3693693693694,0.0541155490373312,0.0307028286379476,8.85218170425237,11.5290498908079,5.13738738738739,0.0239508388894372,0.015162885412429,14.8588076258216,18.668435474511,25,0.0353608074091359,0.0207388065178447,31.1755597047195,20.8144298341938,12.5
FTP,S3,J_HPC_rerun,0.0124669240822936,0.0142533954216868,17.2221591018337,11.8194345009833,58.4887387387387,0.0502386856408079,0.0323672183842073,5.99626120847222,7.20068504398485,10.472972972973,0.0190400010372884,0.0160597492399033,8.91160282281314,8.98537321368582,25,0.0283705522950815,0.0180016444507226,19.3640212070165,18.993955539906,25
JA,S1,J_HPC_rerun,0.0111239849510787,0.0141317156038723,23.6028626269673,13.8236925078635,64.7545045045045,0.0192447849927982,0.0174750359805478,21.0285085256531,15.0260819623705,32.8558558558559,0.0206602059247878,0.014223843775748,17.2771300923895,16.4457625402177,25,0.0275298880266574,0.0177451573165059,24.906671384862,11.5700890033461,25
JA,S2,J_HPC_rerun,0.0114322000470738,0.0133432068637658,26.5880033565039,15.0943518039299,62.4031531531532,0.0202229476858535,0.0189358601629334,21.5674258219621,15.3452399508895,34.3175675675676,0.0200630034445274,0.0148440780366779,13.4295542423065,14.3513417788292,25,0.0323293586811722,0.0150145822986373,27.8276700545744,31.8892470094736,12.5
JA,S3,J_HPC_rerun,0.0109197986984714,0.013438634740205,19.9358489825746,12.282650324688,66.0653153153153,0.0190933357034891,0.0253308843847783,17.3652072418632,12.5144325222426,50.5788288288288,0.0202307758036468,0.0134892883109182,13.2024264543261,14.0654138481196,25,0.0254003082242307,0.0154731518476592,21.5151794716509,11.1924040624399,25
