Action Space,State Space,Upper Folder,Sim A Distance Mean,Sim A Distance Std,Sim A Angle Mean,Sim A Angle Std,Sim A Success Rate,Sim C Distance Mean,Sim C Distance Std,Sim C Angle Mean,Sim C Angle Std,Sim C Success Rate,Real A Distance Mean,Real A Distance Std,Real A Angle Mean,Real A Angle Std,Real A Success Rate,Real C Distance Mean,Real C Distance Std,Real C Angle Mean,Real C Angle Std,Real C Success Rate
FTP,S1,N_HPC_slide_rerun,0.012121114814004,0.0155038880183934,22.3699987800823,13.4469495129116,57.0968468468468,0.0506018708498785,0.0307986022364189,7.04559359481777,9.76152726333327,7.51126126126126,0.0199868384159498,0.0139189426041826,15.3410335387594,21.0693518154521,12.5,0.0305276809438987,0.0184638120421717,28.1561852041929,23.6885644951621,12.5
FTP,S2,N_HPC_slide_rerun,0.0106147044155224,0.0149194684032793,21.0541850734664,13.312386887238,66.9617117117117,0.0586621217384762,0.0369832157091357,9.77826321993753,10.9218152121876,7.11711711711712,0.0225694020680285,0.0126513992575991,10.9828559974105,13.212526178892,25,0.0317048774011943,0.0191343677717982,23.2007115448912,15.782272134124,12.5
FTP,S3,N_HPC_slide_rerun,0.0119333717932517,0.0159147006951305,14.1558152646915,10.447301497011,61.713963963964,0.0613411395680336,0.0340280908287432,11.7861901872204,12.3909102351526,4.34009009009009,0.0258325275794654,0.0169931592056576,17.7829773747734,19.6723384842761,25,0.0337025209370389,0.0173051079941739,16.2591655562382,23.0690232184369,0
JA,S1,N_HPC_slide_rerun,0.0119325208271265,0.0136904488677419,26.3028888847225,15.8882026087448,60.7837837837838,0.0188954421486818,0.017955895897693,23.8711825454418,17.4682553513976,38.2972972972973,0.0200998205957016,0.0138591546050584,18.8519484940997,18.7811596221918,25,0.0292201674989382,0.0148556110304123,23.2562890226267,11.3197288982921,0
JA,S2,N_HPC_slide_rerun,0.0129097286526892,0.0137702483600311,25.8301374480029,15.586117573254,56.7837837837838,0.0210853355035005,0.0174435250126976,23.4674093567191,17.1501720974414,26.1756756756757,0.0216523658814953,0.0113059532145267,18.8483533078444,23.8858563965152,12.5,0.0310831337003566,0.0127883246420226,23.2295684765042,21.4215637629784,0
JA,S3,N_HPC_slide_rerun,0.0127474900509431,0.0130718378995945,24.7709301587384,16.6291122976177,57.8175675675676,0.0193721537523353,0.0192688261262193,22.0098003729632,16.6000493604541,41.463963963964,0.021872427867153,0.0183002538283309,5.82613306064543,3.26887220315581,25,0.0314842423521887,0.0145968447440636,18.9795865703546,17.0048360961552,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Sim A Distance Mean,Sim A Distance Std,Sim A Angle Mean,Sim A Angle Std,Sim A Success Rate,Sim C Distance Mean,Sim C Distance Std,Sim C Angle Mean,Sim C Angle Std,Sim C Success Rate,Real A Distance Mean,Real A Distance Std,Real A Angle Mean,Real A Angle Std,Real A Success Rate,Real C Distance Mean,Real C Distance Std,Real C Angle Mean,Real C Angle Std,Real C Success Rate
FTP,S3,,0.0128129780693805,0.0157913249637979,17.4750254018725,12.1944323130171,58.53003003003,0.0536633407170763,0.0330657714131556,8.31061435396653,9.95475208254278,8.97297297297297,0.021593438415861,0.0162783129541776,12.8248371583482,14.3880023586118,25,0.0302661997556472,0.0176084936630893,19.3808017711094,20.9319793621873,8.33333333333333
FTP,S2,,0.0107788586143602,0.0188592954360757,22.6862186617411,13.703223304252,67.0495495495496,0.0539920006325786,0.0329511203736949,8.57402817212542,10.924941554142,6.97297297297297,0.022705636052726,0.0136729620960822,13.9374752253336,17.4728505549481,25,0.0331409275993226,0.0185419926045932,24.9073806033559,17.1164442960711,12.5
FTP,S1,,0.0112660047622491,0.0170387356550475,20.0605662551718,12.3629184818859,62.8551051051051,0.0519755127968136,0.0316250612340827,7.55378093055469,9.73030783748479,7.46171171171171,0.0225285768287569,0.0139690312444717,14.5977530823179,18.585789315497,12.5,0.0363622561901773,0.0188256913207113,28.1064654324416,24.227940126846,8.33333333333333
JA,S3,,0.0119070384045312,0.013419632563731,22.6481220707353,14.5614150837393,61.3708708708709,0.0194415995975378,0.0232532133970093,20.2263207094807,14.8447985016339,46.2897897897898,0.0208896530128318,0.0150297830712649,10.9443670833602,11.2315607654282,20.8333333333333,0.0282060006296489,0.0150931188756472,22.4035151111976,14.8211083949867,12.5
JA,S2,,0.0120173041889306,0.0136482139969569,25.5441753668736,15.1641019014413,60.8798798798799,0.0200913768547473,0.0179235825337743,22.216702189791,16.3401975097458,32.9782282282282,0.0207534864480852,0.012823734447909,15.8293440392783,17.0715094003759,20.8333333333333,0.0327005951532593,0.0158135317481959,25.1455157404611,24.1936573497877,8.33333333333333
JA,S1,,0.0117119382439636,0.0136772162299578,24.6341901200564,15.0807439129716,62.1321321321321,0.0195925134884485,0.01829574416679,22.6174777485669,16.3099297632422,35.2214714714715,0.0205801000694681,0.0137530476570757,17.2216187673947,17.046807160077,20.8333333333333,0.0282953983151747,0.0161580022786328,24.6278937707834,13.3058588163918,12.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Sim C – Sim A Dist,Sim C – Sim A percent,dist std,percent std,,,,,,,,,,,,,,,,
,FTP,S3,0.0408503626476958,-49.5570570570571,0.0244285481884767,,,,,,,,,,,,,,,,,
,FTP,S2,0.0432131420182184,-60.0765765765766,0.0259052079048853,,,,,,,,,,,,,,,,,
,FTP,S1,0.0407095080345645,-55.3933933933934,0.0243318984445651,,,,,,,,,,,,,,,,,
,JA,S3,0.00753456119300653,-15.0810810810811,0.0183364229803701,,,,,,,,,,,,,,,,,
,JA,S2,0.00807407266581664,-27.9016516516517,0.0157858982653656,,,,,,,,,,,,,,,,,
,JA,S1,0.00788057524448491,-26.9106606606607,0.0159864801983739,,,,,,,,,,,,,,,,,
,,,Sim C – Sim A Dist,dist std,Sim C – Sim A percent,,,,,,,,,,,,,,,,,
,FTP,S3,41,24,-50,,,,,,,,,,,,,,,,,
,FTP,S2,43,26,-60,,,,,,,,,,,,,,,,,
,FTP,S1,41,24,-55,,,,,,,,,,,,,,,,,
,JA,S3,8,18,-15,,,,,,,,,,,,,,,,,
,JA,S2,8,16,-28,,,,,,,,,,,,,,,,,
,JA,S1,8,16,-27,,,,,,,,,,,,,,,,,
