Action Space,State Space,Sim A Distance Error,Sim A Distance Std,Sim A Orientation Error,Sim A Orientation Std,Sim A Orientation Traveled,Sim A Traveled Std,Real A Distance Error,Real A Distance Std,Real A Orientation Error,Real A Orientation Std,Real A Orientation Traveled,Real A Traveled Std,Sim B Distance Error,Sim B Distance Std,Sim B Orientation Error,Sim B Orientation Std,Sim B Orientation Traveled,Sim B Traveled Std,Real B Distance Error,Real B Distance Std,Real B Orientation Error,Real B Orientation Std,Real B Orientation Traveled,Real B Traveled Std
FTP,S1,2.0601208511421363,2.2454348013779097,29.43797786326866,22.17454100343191,33.333333333333336,37.267799624996506,2.4488760954520457,1.5899972216183769,42.245672286801074,16.38937772851463,30.64516129032258,39.50789907714804,1.9238515226890143,2.134403301467091,41.28467510399296,8.534838151138187,36.666666666666664,33.9934634239519,2.094736481135121,1.5308010039849747,34.05061691438121,14.127825230442676,40.0,30.0
FTP,S2,2.2698674391368097,2.1892576969386566,42.97457955880375,7.58160039095489,36.666666666666664,33.9934634239519,2.7936053438296407,1.7573478365673583,37.907259307536,12.350249324947905,38.333333333333336,30.77697552103231,2.0847345236139705,1.7799664324046964,40.04604665676781,9.181796538584436,36.666666666666664,33.993463423951894,2.344142649800879,1.7535277432889798,36.59591264276874,12.203116633758288,40.0,30.0
FTP,S3,1.5640647978944142,1.4460866046820922,47.96130955605345,7.9572906553889275,10.0,48.98979485566356,1.6927134346724908,1.1628325322015212,40.63393051110702,17.179984316288976,23.333333333333332,44.22166387140533,1.774790012953954,1.6556887234220792,49.2404458433426,5.049096482875397,16.666666666666668,47.14045207910317,1.6267683365449523,1.058344337630746,42.039433379960336,13.574606443737142,36.666666666666664,31.44660377352201
JA,S1,5.384658438070421,4.560867159646128,32.93345297751828,12.295331287485991,46.666666666666664,17.950549357115012,3.2793791440082165,2.7622130327899286,36.894382126136406,32.82703648682473,16.666666666666668,47.14045207910317,5.443148326129447,4.479454099098409,35.25741805818495,13.428425304306296,36.666666666666664,33.9934634239519,5.466397023277515,3.2119022420949044,19.862237420468503,17.348665701640364,46.666666666666664,17.950549357115015
JA,S2,4.935697522259001,4.31186349790208,35.74637575095541,14.924355326905467,40.0,30.0,2.8805796321127497,2.407866380310223,42.866693130531175,30.220272099212067,13.333333333333334,48.189440982669865,4.651304111549934,4.106483341371411,34.82788178575836,11.600559924021239,43.333333333333336,24.944382578492952,4.336684554183238,2.8056499551941583,27.67440076065275,23.173943756885247,36.666666666666664,33.993463423951894
JA,S3,5.125406587897104,4.229168643709888,38.827537872115045,9.41817934979616,46.666666666666664,17.950549357115015,3.250851827651521,2.606240665974489,42.3961901384251,35.51158414030132,0.0,50.0,4.480490234284014,3.4729824800946645,35.47216914068575,13.157883862085884,40.0,30.0,5.005580560556252,3.43880916947183,25.635871644905066,19.189029991750946,33.333333333333336,37.2677996249965
